first_name,last_name,birthday,mobile_no,email,above_18
Sarah,Porter,19701221,128499,Sarah_Porter@rose-mercado.net,true
Mark,Scott,19760512,8159362,Mark_Scott@hernandez.com,true
Joseph,Sullivan,19790712,377631,Joseph_Sullivan@woods-shaw.biz,true
Andrew,Ryan,20121128,184779,Andrew_Ryan@woodard.com,false
Paula,Dixon,19990224,969831,Paula_Dixon@lee-carter.net,true
Emily,Hernandez,20150803,31041,Emily_Hernandez@hernandez-mcconnell.biz,false
Donald,Jimenez,20160207,544983,Donald_Jimenez@coleman.info,false
William,Parker,19520802,43576,William_Parker@colon.net,true
Austin,Stevens,19921206,877473,Austin_Stevens@nixon-bell.net,true
Heather,Rogers,19960419,3442552,Heather_Rogers@golden.com,true
Christopher,Cline,19580228,21240567,Christopher_Cline@conrad.org,true
Denise,Smith,19920502,744777,Denise_Smith@lee.biz,true
Amanda,Myers,19770324,670095,Amanda_Myers@schneider.com,true
Johnny,Mooney,19510929,8371406,Johnny_Mooney@miles.biz,true
Corey,Spencer,19950513,335667,Corey_Spencer@rios.com,true
Jacqueline,Davis,20091206,17681,Jacqueline_Davis@williams.info,false
Kayla,Davis,20070827,3597924,Kayla_Davis@zuniga.net,false
Bradley,Poole,19950424,5383008,Bradley_Poole@schroeder-benitez.info,true
William,Pierce,19871003,6368594,William_Pierce@smith.com,true
Brianna,Berg,19911110,3607815,Brianna_Berg@martin.info,true
Jimmy,Fischer,20110724,6097155,Jimmy_Fischer@jackson.org,false
Frances,Harris,19690922,3637229,Frances_Harris@martinez.com,true
Kenneth,Benton,20171119,37406,Kenneth_Benton@mack.com,false
Rebecca,Jackson,19690628,8651210,Rebecca_Jackson@clark.com,true
Veronica,Bradshaw,19650718,7569689,Veronica_Bradshaw@martinez.com,true
Catherine,Allen,19800905,38811,Catherine_Allen@hernandez-fields.com,true
Andrea,Carrillo,19920215,930069,Andrea_Carrillo@hansen.com,true
Kerry,Byrd,19710720,9841007,Kerry_Byrd@brown.net,true
Gregory,Lambert,19751007,26598607,Gregory_Lambert@williams.org,true
Dale,Anderson,19780725,36216,Dale_Anderson@bennett.com,true
Jacob,Sherman,19561203,9714237,Jacob_Sherman@williams-holden.com,true
David,Webb,19540603,68466,David_Webb@schmidt.com,true
Tonya,Green,20080331,14506,Tonya_Green@acevedo.com,false
Alexis,Lane,20000622,2086722,Alexis_Lane@stanley.com,true
Joyce,Cannon,19600409,686403,Joyce_Cannon@hernandez.info,true
Anne,Ray,20150902,459837,Anne_Ray@duran.org,false
Karen,Williams,19650611,81576,Karen_Williams@hines.com,true
Sheena,Krause,19880524,185583,Sheena_Krause@williams.com,true
Luis,Wallace,19770226,731547,Luis_Wallace@lopez-taylor.com,true
Robert,Shepherd,19621004,56446,Robert_Shepherd@johnson.net,true
Robert,Scott,20030725,26296,Robert_Scott@arnold.com,true
Carlos,Johnson,19850218,7907922,Carlos_Johnson@perez.biz,true
Crystal,Hansen,19800518,5151126,Crystal_Hansen@griffin-potter.info,true
Judy,Schneider,19830927,2411858,Judy_Schneider@stephens.com,true
Crystal,Brady,19850221,66286,Crystal_Brady@ewing.com,true
Samantha,Henson,20030818,2851500,Samantha_Henson@meadows.com,true
Daniel,Sims,19891107,2319703,Daniel_Sims@roach-oneal.com,true
Connie,Day,20030502,519255,Connie_Day@greer.com,true
Dylan,Lee,19781204,4076892,Dylan_Lee@anderson.net,true
Christian,Lee,20130909,750699,Christian_Lee@hicks.org,false
Deanna,Stephens,19941028,7345794,Deanna_Stephens@keith.info,true
David,Perry,19910506,47266,David_Perry@walls-nguyen.com,true
Charles,Villegas,19781106,384471,Charles_Villegas@rivera-clark.com,true
Sharon,Clark,19530806,51371,Sharon_Clark@cabrera-turner.info,true
Christina,Sanders,20030817,6578426,Christina_Sanders@davidson-savage.com,true
Jeffrey,Hinton,19631214,46301,Jeffrey_Hinton@brown.com,true
Gina,Harris,19560413,716955,Gina_Harris@butler.com,true
Alex,Tapia,19991115,752763,Alex_Tapia@webster.com,true
Jacob,Woods,20030616,92331,Jacob_Woods@thompson-wolf.com,true
Sean,Watson,19810322,22526,Sean_Watson@jones-diaz.biz,true
Stephanie,Oneal,19940524,36971,Stephanie_Oneal@davis.info,true
Stephanie,Maldonado,19761007,287055,Stephanie_Maldonado@vasquez.info,true
Jay,Williams,19640106,7184934,Jay_Williams@dalton.com,true
Jeffery,Rodriguez,19930417,347595,Jeffery_Rodriguez@norton.com,true
Margaret,Guzman,19971212,8831096,Margaret_Guzman@wright-weber.com,true
Lori,Willis,19810116,11861,Lori_Willis@hernandez-johnson.com,true
Fernandez,Jr.,19800530,17232207,John_Fernandez@may.org,true
Christina,Valdez,19790714,2517705,Christina_Valdez@santana.org,true
Timothy,Martin,20160204,99946,Timothy_Martin@whitaker.com,false
Kelly,Scott,20110811,6951967,Kelly_Scott@bailey.biz,false
Joseph,Ward,19690911,5776744,Joseph_Ward@carson.com,true
Brady,Gonzalez,19841203,1679308,Brady_Gonzalez@mckay.com,true
Linda,Mcdonald,20011205,16671,Linda_Mcdonald@alexander.com,true
Donna,Yates,20080216,52316,Donna_Yates@moore.org,false
Aaron,Keith,19720618,707841,Aaron_Keith@lopez-clark.com,true
Nicholas,Cook,19740712,97811,Nicholas_Cook@koch.com,true
Erica,Gonzales,19940926,815745,Erica_Gonzales@munoz.net,true
Brian,Rodriguez,19650613,65591,Brian_Rodriguez@jones.net,true
Melissa,Schultz,20170730,65472255,Melissa_Schultz@hunter.biz,false
Nancy,Williams,19980809,295329,Nancy_Williams@nguyen.com,true
Kathryn,Barrera,19900713,82301,Kathryn_Barrera@perez-clark.org,true
Kristen,Martin,19750614,5903906,Kristen_Martin@freeman-jones.com,true
Christopher,Lester,19540405,79532575,Christopher_Lester@keller.org,true
Kathleen,Robinson,19980120,471105,Kathleen_Robinson@beard.biz,true
Katherine,Ward,19800221,62901,Katherine_Ward@foster.com,true
Angelica,Delgado,19880526,2668891,Angelica_Delgado@hensley.org,true
William,Burke,19921229,215793,William_Burke@lane.info,true
Michele,Hurley,19640615,5835789,Michele_Hurley@henry.com,true
Ashley,Rogers,20041206,97874903,Ashley_Rogers@elliott-johnson.com,false
Jennifer,Kim,19940519,895473,Jennifer_Kim@maxwell.com,true
Corey,Roth,20070510,893955,Corey_Roth@rivera.com,false
Gabriella,Conner,19600923,9246147,Gabriella_Conner@martinez-vega.info,true
Madison,Owen,20040719,68116,Madison_Owen@barron.com,false
Alicia,Kaufman,19910402,5434486,Alicia_Kaufman@phillips.biz,true
Emma,Morse,20131020,221937,Emma_Morse@keller-morales.com,false
Alicia,Dean,19820716,32173895,Alicia_Dean@leon.org,true
Emily,Acevedo,19640313,988851,Emily_Acevedo@dunn.net,true
Harold,Lucero,19871231,593511,Harold_Lucero@weeks.com,true
Sabrina,Marshall,20181031,70301767,Sabrina_Marshall@baker-yu.com,false
Jimmy,Hall,19550930,45553567,Jimmy_Hall@spence-knapp.biz,true
Trevor,Daniels,19840719,28476,Trevor_Daniels@wilson.com,true
Amanda,Gay,20060504,833841,Amanda_Gay@chavez.com,false
Lindsay,Barnett,20010903,897651,Lindsay_Barnett@barnes.com,true
Jones,MD,19520612,33721,Gregory_Jones@mcdonald.net,true
Ashley,Marsh,19780529,404601,Ashley_Marsh@norris-kelly.com,true
Michael,Jones,20081124,16126,Michael_Jones@mcdaniel.org,false
Diane,Herrera,20050612,91837411,Diane_Herrera@alvarado.org,false
Andrew,Gibson,19530908,15513119,Andrew_Gibson@yu-richardson.org,true
Morris,MD,20170523,26630807,Tyler_Morris@cross.com,false
Cassandra,Lewis,20120827,86877407,Cassandra_Lewis@ward.org,false
Ian,Deleon,19860307,36389911,Ian_Deleon@mullins-espinoza.org,true
Calvin,Mcgrath,20180707,407259,Calvin_Mcgrath@smith.net,false
Stephanie,Lee,19621016,16951,Stephanie_Lee@tran-parker.biz,true
Jay,Merritt,19841017,46065855,Jay_Merritt@patterson.org,true
Katherine,Patrick,20180427,87666807,Katherine_Patrick@rocha.com,false
David,Mckinney,19841225,6613412,David_Mckinney@pollard.net,true
Darren,Hale,19940407,976407,Darren_Hale@murphy.biz,true
Jonathan,Smith,19720402,941157,Jonathan_Smith@aguilar.biz,true
Joseph,Acosta,19670418,44115387,Joseph_Acosta@hansen.biz,true
Samantha,Miller,19591011,8809872,Samantha_Miller@west.com,true
John,Frazier,19770209,9296190,John_Frazier@webster.com,true
Eric,Mejia,20040924,70801,Eric_Mejia@scott-dunn.com,false
Lisa,Ramirez,20090113,14592223,Lisa_Ramirez@george.org,false
Larry,Cox,19521009,31571,Larry_Cox@green.info,true
Renee,Oneal,20080502,6169717,Renee_Oneal@adams.com,false
Bryan,Espinoza,19760716,8357791,Bryan_Espinoza@moore.com,true
Christina,Suarez,20070804,1356979,Christina_Suarez@mcclain.org,false
Brandi,Flores,19950602,75411,Brandi_Flores@bowen.biz,true
Jackie,Bates,19880220,727875,Jackie_Bates@sanders.org,true
Darrell,White,19590408,26976,Darrell_White@hunter-chavez.com,true
James,Johnson,19911007,11516,James_Johnson@phillips-buchanan.biz,true
Kelly,Wood,19610905,616683,Kelly_Wood@martinez.com,true
Lisa,Schultz,20110417,76236,Lisa_Schultz@molina.com,false
Jessica,Hughes,19930521,56956,Jessica_Hughes@wright.com,true
Kimberly,Reid,19640727,41556,Kimberly_Reid@ramirez.com,true
William,Young,19870611,531231,William_Young@allen-collins.net,true
Robert,Zuniga,20050704,58375519,Robert_Zuniga@rodriguez-garcia.com,false
Caroline,Rodriguez,19901029,2282582,Caroline_Rodriguez@mendoza.biz,true
Monique,Sharp,19690317,936291,Monique_Sharp@burton.biz,true
Antonio,Smith,20150205,50487943,Antonio_Smith@ramirez-zamora.com,false
Patricia,Flynn,20150327,25661,Patricia_Flynn@chan-castro.com,false
Lindsey,Santos,19890316,438777,Lindsey_Santos@chung-walker.org,true
Savannah,Smith,19850824,318495,Savannah_Smith@johnston-gibson.com,true
Kimberly,Roberts,20130910,710655,Kimberly_Roberts@fitzgerald.biz,false
David,Dominguez,20080413,3256730,David_Dominguez@zamora-morgan.net,false
Brittany,Joyce,19601114,65804583,Brittany_Joyce@thomas.biz,true
Diana,Bryant,19510516,25971,Diana_Bryant@arias.com,true
Sarah,Baker,20131106,32231163,Sarah_Baker@miller.com,false
Teresa,Rios,19590130,5173211,Teresa_Rios@hill.org,true
Marcus,Wilson,19860807,95036,Marcus_Wilson@bailey.info,true
Rodney,Hansen,19630207,35091,Rodney_Hansen@morris.com,true
Frank,Gonzalez,20020523,142887,Frank_Gonzalez@graham.com,true
Billy,Mcneil,19510730,3983743,Billy_Mcneil@brooks.info,true
Sabrina,Carter,19901222,780687,Sabrina_Carter@hubbard.com,true
Lisa,Smith,20121021,8352065,Lisa_Smith@stephenson-page.com,false
Daniel,Gutierrez,19700114,79996,Daniel_Gutierrez@shaffer-allen.info,true
Jennifer,Johnson,19970922,516345,Jennifer_Johnson@osborn.com,true
Tammy,Harris,19610919,7570858,Tammy_Harris@gamble-baker.net,true
Dominique,Reynolds,19630404,4518669,Dominique_Reynolds@shannon-miller.net,true
Brad,Shaw,20040910,95232383,Brad_Shaw@berg-weaver.com,false
Jennifer,Marks,19670812,5313106,Jennifer_Marks@taylor-davis.com,true
Sara,Scott,19790803,6081594,Sara_Scott@richards.org,true
Richard,Walker,19641124,1764687,Richard_Walker@phelps.info,true
Justin,Williams,19840425,2534869,Justin_Williams@rios.com,true
Richard,White,19950906,53291,Richard_White@martinez.com,true
Amber,Haynes,20070406,523179,Amber_Haynes@martinez.net,false
Dale,Cunningham,20120727,33636,Dale_Cunningham@butler.com,false
Gina,Anderson,19900228,549441,Gina_Anderson@hancock-jones.com,true
Amber,Gonzalez,19880528,94911,Amber_Gonzalez@vargas.com,true
Kathleen,Flynn,19870913,93605471,Kathleen_Flynn@boyd-king.biz,true
Brittney,Cannon,19890227,57321,Brittney_Cannon@henderson.info,true
Penny,Smith,20150130,30415199,Penny_Smith@clark-frank.com,false
Valerie,Thompson,19700926,41681,Valerie_Thompson@kim.com,true
Sean,Deleon,19980328,47966,Sean_Deleon@young.biz,true
Gary,Hicks,20180227,68934063,Gary_Hicks@hopkins-salazar.biz,false
David,Walker,19650329,3886345,David_Walker@gibbs-wright.org,true
Mary,Preston,20150531,87766727,Mary_Preston@roman-schwartz.com,false
Kelly,Key,20110612,90001,Kelly_Key@stephens.com,false
Tracy,Preston,20120804,9005424,Tracy_Preston@reynolds-baxter.com,false
Tiffany,Keller,19661014,64916,Tiffany_Keller@perry-mitchell.com,true
Pamela,Marshall,19971128,14001,Pamela_Marshall@grimes.com,true
Anna,Butler,19750325,683055,Anna_Butler@hanna.biz,true
Christopher,Martin,19910806,470241,Christopher_Martin@fitzgerald-delgado.info,true
Mason,George,20080817,6506767,Mason_George@graham-gutierrez.info,false
Marissa,Avery,20140925,418911,Marissa_Avery@lewis-warren.com,false
Maurice,Morgan,19710614,202497,Maurice_Morgan@adkins.biz,true
Sonia,Lopez,20060421,7153672,Sonia_Lopez@young.com,false
Mark,Richards,19671128,150279,Mark_Richards@clark.com,true
Norma,Smith,20160327,66411,Norma_Smith@herrera.org,false
Brandy,Villanueva,19780107,471753,Brandy_Villanueva@williams.net,true
David,Stevens,19830401,637989,David_Stevens@reynolds-jones.org,true
Alexis,Kim,20090120,671745,Alexis_Kim@hanson.com,false
Roy,Russo,19540406,39936,Roy_Russo@chan-strong.info,true
Carolyn,Richardson,19500419,204051,Carolyn_Richardson@bean.com,true
Alan,Reyes,20160923,95912183,Alan_Reyes@benson.info,false
Courtney,Jensen,20180604,64326,Courtney_Jensen@wells-hill.com,false
Ryan,Love,20000403,4287242,Ryan_Love@patterson-stokes.com,true
Kathy,Valenzuela,19590206,75316,Kathy_Valenzuela@lang-gonzales.com,true
Erica,Pruitt,19800923,31838831,Erica_Pruitt@ross-lamb.biz,true
Natalie,Flores,19831201,618717,Natalie_Flores@stone.net,true
Eileen,Thomas,20060803,25206031,Eileen_Thomas@campbell-lyons.com,false
Suzanne,Hernandez,19700917,480423,Suzanne_Hernandez@harris.com,true
Eric,Hicks,20091112,44671,Eric_Hicks@harris-marshall.com,false
Madeline,Preston,20110827,2838508,Madeline_Preston@moore.com,false
Mary,Carroll,19951127,89526,Mary_Carroll@friedman.com,true
Holly,Skinner,20061026,74301,Holly_Skinner@mays.com,false
Lawrence,Jones,19760805,853941,Lawrence_Jones@williams.com,true
Tina,Norton,19761114,8765807,Tina_Norton@davis.org,true
April,Jones,19640113,25496,April_Jones@haynes.com,true
Jessica,Gutierrez,19940215,173325,Jessica_Gutierrez@moore-davidson.info,true
Jessica,Riggs,19600524,984117,Jessica_Riggs@hunter-maldonado.com,true
Denise,Peterson,19831020,45291,Denise_Peterson@cook.info,true
Jerry,Brown,20120610,6606755,Jerry_Brown@patel.biz,false
Margaret,Frazier,20090707,11301,Margaret_Frazier@cook.com,false
Ricky,Johnson,19820126,641835,Ricky_Johnson@brown.biz,true
Sara,Romero,20040514,7661032,Sara_Romero@downs.biz,false
Samuel,Reynolds,19691226,199599,Samuel_Reynolds@castro-flores.net,true
Andrew,Foley,20060508,6758816,Andrew_Foley@reyes.org,false
Lee,Barker,19800219,297543,Lee_Barker@tyler-silva.info,true
Amanda,Li,19920427,819327,Amanda_Li@riddle.com,true
Stephanie,Davis,19590603,5585931,Stephanie_Davis@marshall-hernandez.com,true
Rose,MD,19781102,2465380,Don_Rose@morales-green.org,true
Bradley,Gibson,19990907,75496,Bradley_Gibson@maddox-jordan.net,true
Heidi,Ortiz,19810913,199965,Heidi_Ortiz@carr.org,true
Malik,Clark,19640219,8448084,Malik_Clark@stein-dickerson.com,true
Henderson,DVM,19541218,599097,Nicole_Henderson@johnson-ramos.com,true
Katie,Merritt,20051020,477885,Katie_Merritt@bell.com,false
Michelle,Hall,19571106,94591,Michelle_Hall@fleming.com,true
Amanda,Martinez,19810616,663387,Amanda_Martinez@avila.com,true
Kenneth,Cortez,20000518,39338615,Kenneth_Cortez@lewis.biz,true
Cindy,Lin,19831219,47676,Cindy_Lin@ferguson.org,true
Christopher,Lucas,19661212,59241,Christopher_Lucas@cisneros.com,true
Veronica,Sloan,20080702,62474843,Veronica_Sloan@lang.com,false
Duane,Alvarez,19721102,27726,Duane_Alvarez@haynes.biz,true
James,Lee,19571231,641895,James_Lee@merritt.com,true
Christopher,Meza,19901128,969195,Christopher_Meza@ray.com,true
Nathaniel,Miller,20050628,25496,Nathaniel_Miller@harvey-price.com,false
Mariah,Cervantes,19720907,79716,Mariah_Cervantes@fernandez-kelly.biz,true
Joshua,Jones,19810920,30317003,Joshua_Jones@hanson.biz,true
Brenda,Jones,19901025,1568113,Brenda_Jones@casey.info,true
Jennifer,Booker,19751030,6465586,Jennifer_Booker@byrd.info,true
Seth,Castaneda,19940909,6688305,Seth_Castaneda@hunter.net,true
Rachel,Kennedy,19881229,2272495,Rachel_Kennedy@arnold-silva.net,true
Susan,Smith,20050620,425601,Susan_Smith@salazar.com,false
Jordan,Barnes,19560503,521001,Jordan_Barnes@fitzpatrick.com,true
Brenda,Turner,19550726,94128415,Brenda_Turner@hampton.org,true
Matthew,Brown,19720606,21970879,Matthew_Brown@owens.org,true
Christian,Little,19610206,58461,Christian_Little@chandler.net,true
Thomas,Valenzuela,19880516,7504960,Thomas_Valenzuela@stevens-munoz.net,true
Philip,Hughes,20101112,46877215,Philip_Hughes@griffin.com,false
Gary,Curry,20130719,929673,Gary_Curry@porter-santiago.com,false
Andrea,Morrison,20141017,90017719,Andrea_Morrison@schroeder-rodriguez.net,false
Jill,Ortiz,20160824,62271,Jill_Ortiz@adams.com,false
Jessica,Howell,19990327,8110502,Jessica_Howell@davis-reed.com,true
James,Henderson,20120202,9360261,James_Henderson@hill.com,false
Nicholas,Thomas,20180603,89758311,Nicholas_Thomas@scott.com,false
Stephanie,White,19570201,95481,Stephanie_White@blackwell.org,true
Christopher,Greene,19880101,82039695,Christopher_Greene@berry.org,true
James,Palmer,19830202,470487,James_Palmer@george.net,true
Christine,Cantrell,19561202,830313,Christine_Cantrell@larson-rodriguez.com,true
Christopher,Lopez,19591230,18666,Christopher_Lopez@rodriguez.org,true
Sandra,Cook,20020505,7435737,Sandra_Cook@walker.com,true
Pedro,Dunn,19850524,77296,Pedro_Dunn@jackson.com,true
Cassandra,Gallagher,19730327,70786,Cassandra_Gallagher@sanchez-perkins.com,true
Daniel,Guzman,19661122,625959,Daniel_Guzman@maddox-williams.org,true
Michael,Hunt,19600810,4215779,Michael_Hunt@zuniga-suarez.info,true
Luis,Saunders,20171221,4119046,Luis_Saunders@herrera-love.com,false
Samantha,Golden,20010223,6378478,Samantha_Golden@shields.com,true
Brian,Woods,19680815,151497,Brian_Woods@thomas.biz,true
Janet,Fleming,19730204,3612946,Janet_Fleming@miller-potts.info,true
Rebecca,Brooks,19640327,9141882,Rebecca_Brooks@martin.com,true
Sara,Oliver,19540211,91656,Sara_Oliver@young-dixon.com,true
Megan,Hickman,19770909,99921,Megan_Hickman@brown-martin.biz,true
Raymond,Davis,19950116,36686,Raymond_Davis@gross-wilson.org,true
Krystal,Miller,19770108,2180872,Krystal_Miller@cochran-smith.com,true
Brian,Christian,19511101,8741895,Brian_Christian@perez.com,true
Stephen,Doyle,19850227,20141,Stephen_Doyle@gallegos.com,true
Kathleen,Peterson,19820210,462369,Kathleen_Peterson@garcia.com,true
Teresa,Mcintosh,20060727,19116,Teresa_Mcintosh@kirk-kidd.com,false
Ashley,Hill,19660629,396237,Ashley_Hill@cantu.net,true
Andrew,Jacobs,19750202,710727,Andrew_Jacobs@miller.biz,true
Jeffery,Turner,19930401,86116,Jeffery_Turner@thomas.org,true
Christian,Peterson,19760222,41536527,Christian_Peterson@arnold.biz,true
Jason,Burgess,19721229,3485700,Jason_Burgess@gonzales-burgess.net,true
Crystal,Herrera,19790328,98076,Crystal_Herrera@heath.biz,true
Julie,Suarez,19681221,381189,Julie_Suarez@jones.info,true
William,Lee,19870207,319953,William_Lee@jones.com,true
Paige,Sanders,20011120,83401,Paige_Sanders@montgomery-acevedo.com,true
Devin,Bates,20080222,801057,Devin_Bates@boyd.com,false
Becky,Hernandez,19520902,636777,Becky_Hernandez@wolfe-estes.com,true
John,Henderson,19680429,825657,John_Henderson@wilson.biz,true
Samuel,Bell,20030513,3783291,Samuel_Bell@davis-combs.net,true
Timothy,Nichols,19680601,76207631,Timothy_Nichols@smith.biz,true
Mitchell,Owen,20100919,540609,Mitchell_Owen@finley.info,false
Amy,Baker,20000507,9951397,Amy_Baker@phelps-cole.com,true
Duane,Gomez,19910612,884811,Duane_Gomez@williamson.biz,true
Maria,Hampton,20131115,89841,Maria_Hampton@turner-white.biz,false
Kathy,Schneider,19710130,243465,Kathy_Schneider@randolph.com,true
Christopher,Johnson,19761002,543123,Christopher_Johnson@odom.com,true
Alison,Rojas,20180721,71311,Alison_Rojas@marshall.com,false
Susan,Valdez,20160713,684699,Susan_Valdez@ritter-rich.com,false
Jason,Conway,20090825,26369799,Jason_Conway@salinas.com,false
Nathan,Reid,20140905,6270027,Nathan_Reid@warner.com,false
Amy,Klein,19870717,7759424,Amy_Klein@williamson.net,true
Victoria,Johnson,19650307,99921,Victoria_Johnson@conley.com,true
